position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points
1,Barcelona,38,24,7,7,87,43,+44,79
2,Real Madrid,38,21,5,12,77,62,+15,68
3,Mallorca,38,20,6,12,48,31,+17,66
4,Valencia,38,19,8,11,63,39,+24,65
5,Celta de Vigo,38,17,13,8,69,41,+28,64
6,Deportivo La Coruña,38,17,12,9,55,43,+12,63
7,Espanyol,38,16,13,9,49,38,+11,61
8,Athletic Bilbao,38,17,9,12,53,47,6,60
9,Zaragoza,38,16,9,13,57,46,+11,57
10,Real Sociedad,38,14,12,12,47,43,+4,54
11,Betis,38,14,7,17,47,58,−11,49
12,Valladolid,38,13,9,16,35,44,−9,48
13,Atlético Madrid,38,12,10,16,54,50,+4,46
14,Oviedo,38,11,12,15,41,57,−16,45
15,Racing Santander,38,10,12,16,41,53,−12,42
16,Alavés,38,11,7,20,36,63,−27,40
17,Extremadura,38,9,12,17,27,53,−26,39
18,Villarreal,38,8,12,18,47,63,−16,36
19,Tenerife,38,7,13,18,41,63,−22,34
20,Salamanca,38,7,6,25,29,66,−37,27
