position,team,points,won,lost,draw,played,goals_for,goals_against,goal_difference,year
1,Atlético Madrid,-0.0729583567207321,0.7784849063864279,-1.3943416337373353,-0.8225492081407567,-1.4776186879870306,2.513342316787715,0.18209419902669985,0.10319124340926827,1950
2,Sevilla,-0.20541043836821335,0.7784849063864279,-0.9496524671659663,-1.431437362215966,-1.4776186879870306,2.0014811663534724,-0.13714157167621419,0.0943921241266517,1950
3,Valencia,-0.271636479191954,0.7784849063864279,-0.7273078838802817,-1.7358814392535704,-1.4776186879870306,1.0417415092892683,0.02247631367524283,0.04325991844664376,1950
4,Barcelona,-0.40408856083943523,0.5698836239648831,-0.504963300594597,-1.7358814392535704,-1.4776186879870306,2.2574117415705937,1.0599925684597133,0.051397984680978386,1950
5,Real Sociedad,-0.40408856083943523,0.36128234154333827,-0.7273078838802817,-1.1269932851783613,-1.4776186879870306,1.873515878744912,0.6609478550810709,0.05208998354009007,1950
6,Valladolid,-0.5365406424869165,0.15268105912179347,-0.504963300594597,-1.1269932851783613,-1.4776186879870306,0.2099671398336246,0.26190314170242834,-0.005672507412710073,1950
7,Atlético Bilbao,-0.5365406424869165,0.36128234154333827,-0.28261871730891247,-1.7358814392535704,-1.4776186879870306,2.5773249605919952,0.6609478550810709,0.08423995293664158,1950
8,Celta,-0.5365406424869165,0.36128234154333827,-0.28261871730891247,-1.7358814392535704,-1.4776186879870306,0.9137762216807077,0.6609478550810709,0.008249116181156197,1950
9,Real Madrid,-0.6689927241343977,-0.05592022329975133,-0.28261871730891247,-1.1269932851783613,-1.4776186879870306,2.0654638101577527,1.8580819952169985,0.006173119603821144,1950
10,Real Santander,-0.7352187649581383,-0.2645215057212961,-0.28261871730891247,-0.8225492081407567,-1.4776186879870306,0.08200185222506405,0.980183625783985,-0.04432897883873468,1950
11,Español,-0.7352187649581383,-0.05592022329975133,-0.060274134023227906,-1.431437362215966,-1.4776186879870306,2.1934290977663133,1.9378909378927272,0.008372899424475274,1950
